backslashjasdlf',backslashasdn',0,0,0,1,0,NULL,NULL,NULL,NULL,backslash;',NULL,NULL,NULL,NULL,NULL,backslash',;',dblequote',B.H.',Thursday',2018-07-12 07:55:06'
1',12',0,1,0,0,0,1,1,0,NULL,NULL,necrosis wilt',NULL,NULL,NULL,NULL,off',NULL,NULL,d.p.',Monday',2018-07-16 09:11:30'
1',13',0,1,0,0,0,2,1,0,NULL,NULL,wilting/necrosis',NULL,NULL,NULL,thripe damage',off',NULL,NULL,d.p.',Monday',2018-07-16 09:12:13'
1',14',0,0,0,0,1,1,0,0,NULL,NULL,NULL,NULL,NULL,85',NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:12:30'
1',15',1,NULL,NULL,0,NULL,NULL,0,0,NULL,shelf 1 1 bar',N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:13:30'
1',16',1,NULL,NULL,0,NULL,NULL,0,0,NULL,shelf 3 1 bar',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:13:54'
1',17',1,NULL,NULL,0,NULL,NULL,0,0,NULL,transformer out',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:14:53'
1',18',0,1,NULL,0,NULL,1,0,0,NULL,NULL,necrosis',NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:15:53'
'1','1',1,0,0,0,0,1,0,0,NULL,'diodes our shelf 4 & 5',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Tuesday','2018-07-17 08:12:27'
'1','1',1,0,0,0,0,1,0,0,NULL,'diodes out on shelf 4 & 5 ',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:16:52'
'1','2',1,1,0,0,0,1,0,0,NULL,'diodes out shelf 1','wilted ; discolored; ',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:19:05'
'1','3',0,NULL,NULL,0,NULL,NULL,0,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:20:08'
'1','4',0,0,0,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,'thrips damage to leaves ',NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:22:59'
'1','5',1,0,1,0,0,1,0,0,NULL,'one bar out shelf one ',NULL,'nossle adjusted ',NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:25:26'
'1','6',0,0,0,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:27:27'
'1','7',0,NULL,NULL,0,NULL,NULL,0,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:28:07'
'1','8',1,0,0,0,0,1,0,0,NULL,'one bar out  shelf 2',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:29:52'
'1','9',1,1,1,0,0,3,1,0,NULL,'1 bar out shelf 4','wilted; discolored; necrosis','adjusted ',NULL,NULL,'damage to leafs ',NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:33:35'
'1','10',0,1,0,0,0,2,1,0,NULL,NULL,'discolored spots ',NULL,NULL,NULL,'damage to leaves ','off/broken?',NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:37:02'
'1','11',1,NULL,NULL,0,1,NULL,1,0,NULL,'1 bar out shelf 1','N/A',NULL,NULL,'85',NULL,'off/broken?',NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:38:28'
'1','12',0,1,0,0,0,2,1,0,NULL,NULL,'necrosis',NULL,NULL,NULL,'damage to leaves ','off/broken ',NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:40:55'
'1','13',0,1,0,1,0,2,0,0,NULL,NULL,'necrosis ',NULL,'less than 50',NULL,'damage to leaves ',NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:41:46'
'1','14',0,0,0,0,1,1,0,0,NULL,NULL,NULL,NULL,NULL,'meter 85',NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:43:11'
'1','15',1,NULL,NULL,0,NULL,NULL,0,0,NULL,'1 bar out shelf 1','N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:44:03'
'1','16',1,NULL,NULL,0,NULL,NULL,0,0,NULL,'1 bar out shelf 3','N?A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:45:07'
'1','17',NULL,NULL,NULL,0,NULL,NULL,0,0,NULL,'N/A','N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:50:30'
'1','18',0,1,NULL,0,NULL,1,0,0,NULL,NULL,'discolored; necrosis; ',NULL,NULL,'N/A',NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:53:02'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Tuesday','2018-07-17 08:53:03'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'bh','Wednesday','2018-07-18 07:50:09'
'1','1',1,0,0,0,0,1,0,0,NULL,'diode out shef 4',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:01:01'
'1','2',1,1,1,0,1,2,0,0,NULL,'diode out shelf 1','wilted; discolored ','uneven ',NULL,'meter 88-89','damage to leaves ',NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:04:02'
'1','3',0,0,0,1,0,1,0,0,NULL,NULL,NULL,NULL,'less than 50% being worked on',NULL,NULL,NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:05:11'
'1','4',0,1,0,0,0,2,0,0,NULL,NULL,'wilted ; discolored ',NULL,NULL,NULL,'thripe damage to leaves ',NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:08:27'
'1','5',1,0,0,0,0,1,0,0,NULL,'1 bar out shelf one ',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:10:13'
'1','6',0,0,0,0,0,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'1 of 2 airators out ',NULL,NULL,' d.p.','Wednesday','2018-07-18 08:12:49'
'1','7',0,NULL,NULL,0,NULL,NULL,0,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:13:55'
'1','8',1,0,0,0,0,2,0,0,NULL,'1 bar out shelf 2',NULL,NULL,NULL,NULL,'Aphids ',NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:16:18'
'1','9',1,1,1,0,0,3,1,0,NULL,'one bar out shelf four ','(necrosis) wilted + discolored ','uneven ',NULL,NULL,'thrips; damage to plants ','off/out',NULL,NULL,' d.p.','Wednesday','2018-07-18 08:20:52'
'1','10',0,1,0,0,0,2,1,0,NULL,NULL,'overgrown ; wilted',NULL,NULL,NULL,'damage to leaves ','off/out',NULL,NULL,' d.p.','Wednesday','2018-07-18 08:24:07'
'1','11',1,NULL,0,0,1,NULL,1,0,NULL,'1 bar out shelf 1','N/A',NULL,NULL,'meter 85',NULL,'off/out',NULL,NULL,' d.p.','Wednesday','2018-07-18 08:25:21'
'1','12',0,1,0,0,0,2,1,0,NULL,NULL,'necrosis ',NULL,NULL,NULL,'damage to leaves ','off/out',NULL,NULL,' d.p.','Wednesday','2018-07-18 08:30:44'
'1','13',0,1,0,1,0,2,0,0,NULL,NULL,'necrosis; wilted ',NULL,'less than 50%',NULL,'damage to leaves ',NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:31:54'
'1','14',0,0,0,0,1,1,0,0,NULL,NULL,NULL,NULL,NULL,'85',NULL,NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:33:40'
'1','15',0,NULL,NULL,0,NULL,NULL,0,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:34:21'
'1','16',1,NULL,NULL,0,NULL,NULL,0,0,NULL,'1 bar out shelf 3','N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:35:30'
'1','17',NULL,0,NULL,0,NULL,0,0,0,NULL,'N/A',NULL,'N/A',NULL,'N/A',NULL,NULL,NULL,NULL,' d.p.','Wednesday','2018-07-18 08:40:05'
'1','18',0,1,NULL,0,NULL,1,NULL,0,NULL,NULL,'minor wilting','N/A',NULL,'N/A',NULL,'N/A',NULL,NULL,' d.p.','Wednesday','2018-07-18 08:42:25'
'1','1',1,0,0,1,1,1,0,0,NULL,'diode shelf 3',NULL,NULL,'less than 50% (iso valve shut off)','89 ',NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:07:57'
